Player,FNL,FSP,FSW,SSP,SSW,ACE,DBF,WNR,UFE,BPC,BPW,NPA,NPW,TPW,ST,ST3,ST4,ST5
M.Koehler,0,60,21,40,8,2.0,4,19,18,7,2,3,3,,1,,,
E.Baltacha,0,69,23,31,6,0.0,0,12,10,1,1,14,10,,4,,,
S-W.Hsieh,2,63,17,37,10,1.0,1,23,13,14,6,13,8,,6,,,
A.Cornet,2,57,36,43,21,4.0,4,35,30,14,4,22,17,,4,6.0,,
Y.Putintseva,0,73,34,27,12,2.0,2,24,28,4,1,12,7,,5,,,
A.Tomljanovic,1,59,38,41,22,6.0,4,35,42,14,2,12,6,,6,7.0,,
Y.Wickmayer,1,69,40,31,13,1.0,3,31,37,6,4,17,10,,6,4.0,,
J.Jankovic,2,68,31,32,12,2.0,1,23,13,5,3,12,11,,6,,,
V.Razzano,0,78,21,22,9,1.0,2,17,15,1,1,15,9,,6,,,
E.Bouchard,2,61,44,39,24,3.0,2,29,25,5,3,20,17,,5,6.0,,
S.Arvidsson,0,73,19,27,6,1.0,0,7,10,8,0,4,2,,1,,,
C.Suarez Navarro,2,68,27,32,14,,1,23,19,10,6,24,18,,6,,,
J.Larsson,0,63,20,37,9,2.0,4,14,19,0,0,7,5,,3,,,
G.Muguruza,2,67,28,33,9,3.0,4,23,16,9,4,18,13,,6,,,
K.Bertens,0,57,31,43,11,3.0,5,9,34,2,2,13,6,,4,,,
P.Kvitova,2,67,40,33,17,2.0,5,32,31,15,5,24,15,,6,6.0,,
K.Mladenovic,0,52,29,48,17,6.0,7,18,20,1,0,15,11,,6,,,
M.Larcher De Brito,2,68,46,32,15,1.0,5,16,42,6,5,14,8,,7,6.0,,
L.Hradecka,0,65,23,35,8,2.0,2,16,16,3,0,8,4,,3,,,
L.Safarova,2,63,24,37,11,2.0,1,19,9,5,4,5,2,,6,,,
S.Voegele,0,51,29,49,19,1.0,3,13,32,10,4,18,16,,5,,,
C.Giorgi,2,54,23,46,19,1.0,4,18,17,13,2,21,14,,6,,,
C.McHale,2,60,24,40,13,1.0,0,16,14,10,4,15,6,,6,,,
M.Bartoli,2,58,29,42,16,4.0,3,30,25,7,3,18,13,,6,,,
E.Cabeza Candela,0,68,9,32,3,0.0,1,12,18,5,1,15,8,,0,,,
P.Cetkovska,2,69,28,31,7,6.0,1,30,14,9,4,11,11,,6,,,
P.Parmentier,0,62,16,38,10,3.0,3,16,12,3,1,13,9,,3,,,
S.Stephens,2,73,34,27,6,4.0,2,16,15,6,4,13,8,,6,,,
E.Birnerova,2,76,44,24,15,2.0,2,33,28,12,3,15,6,,6,6.0,,
L.Arruabarrena,0,79,23,21,4,2.0,0,7,7,0,0,12,4,,1,,,
S.Soler-Espinosa,2,58,33,42,10,1.0,3,25,28,13,6,20,14,,1,6.0,,
S.Errani,0,75,28,25,6,0.0,3,13,15,6,1,11,7,,3,,,
M.Krajicek,0,50,11,50,11,1.0,2,7,8,3,0,11,7,,1,,,
O.Govortsova,1,58,30,42,16,0.0,5,20,26,5,4,20,17,,2,3.0,,
N.Bratchikova,0,65,20,35,8,2.0,4,24,30,6,2,19,12,,3,,,
K.Zakopalova,2,54,28,46,13,2.0,4,29,16,8,6,8,5,,6,,,
M.Camerin,1,55,42,45,26,2.0,6,24,31,9,4,17,9,,4,4.0,,
M.Torro-Flor,2,72,25,28,8,,4,22,30,15,5,5,3,,6,,,
Kr.Pliskova,0,69,16,31,6,6.0,1,20,29,8,3,12,7,,4,,,
R.Vinci,2,57,24,43,14,4.0,3,23,6,7,5,20,14,,6,,,
Ka.Pliskova,2,73,33,27,4,13.0,1,32,6,7,3,5,4,,6,,,
A.Tatishvili,1,67,31,33,13,0.0,5,19,22,11,3,14,7,,1,3.0,,
B.Zahlavova Strycova,2,62,37,38,14,6.0,3,35,42,22,8,34,23,,5,6.0,,
A.Pavlyuchenkova,0,57,9,43,5,1.0,4,14,18,1,0,14,6,,0,,,
M.Niculescu,1,85,46,15,7,0.0,1,26,22,13,6,48,23,,3,5.0,,
H.Watson,0,53,18,47,13,4.0,2,11,15,5,2,7,4,,3,,,
T.Babos,1,51,25,49,15,7.0,8,19,47,6,4,13,6,,6,3.0,,
A.Radwanska,2,73,24,27,5,5.0,1,17,8,8,6,14,10,,6,,,
B.Mattek-Sands,0,55,29,45,10,4.0,1,26,26,3,2,30,15,,3,,,
K.Kanepi,2,54,48,46,26,12.0,9,45,46,21,5,13,7,,7,7.0,,
M.Burdette,1,74,38,26,10,0.0,4,42,54,20,8,44,30,,6,2.0,,
R.Oprandi,1,68,34,32,12,2.0,1,34,22,11,4,13,3,,7,1.0,,
A.Medina Garrigues,0,66,19,34,9,0.0,0,21,16,6,0,12,11,,3,,,
A.Morita,1,75,41,25,8,1.0,4,17,21,4,1,9,4,,6,5.0,,
M.Duque-Marino,2,64,48,36,20,4.0,7,19,25,11,4,13,10,,6,7.0,,
M.Kirilenko,0,60,21,40,10,2.0,0,8,4,2,1,7,5,,3,,,
A.Schmiedlova,0,65,24,35,7,2.0,3,7,15,2,0,4,2,,1,,,
O.Puchkova,2,69,24,31,4,,7,17,26,10,7,4,3,,6,,,
E.Vesnina,2,73,29,27,7,1.0,1,21,16,9,6,14,8,,6,,,
S.Lisicki,2,60,27,40,11,5.0,4,25,17,8,4,13,11,,6,,,
A.Cadantu,2,71,29,29,8,2.0,3,17,22,8,5,8,4,,6,,,
K.Date-Krumm,2,65,17,35,10,1.0,0,17,8,8,6,20,16,,6,,,
C.Garcia,2,64,33,36,11,4.0,0,22,20,4,2,16,8,,6,,,
S.Williams,2,73,23,27,7,7.0,1,25,11,6,5,13,9,,6,,,
A.Cornet,2,64,29,36,14,2.0,1,20,10,9,4,15,10,,6,,,
B.Jovanovski,0,59,24,41,15,3.0,1,19,17,5,1,11,8,,4,,,
J.Jankovic,0,61,23,39,7,1.0,4,13,26,6,2,17,9,,5,,,
E.Bouchard,2,54,25,46,10,0.0,2,14,11,7,5,6,5,,6,,,
C.Suarez Navarro,2,59,30,41,16,1.0,2,16,13,8,5,12,7,,1,6.0,,
G.Muguruza,1,58,37,42,21,3.0,6,31,31,9,2,17,12,,2,4.0,,
M.Larcher De Brito,2,71,34,29,16,0.0,2,13,9,6,3,2,1,,6,,,
L.Safarova,1,65,37,35,19,1.0,4,21,30,5,4,9,5,,6,4.0,,
C.Giorgi,2,53,36,47,20,0.0,11,21,36,14,5,22,13,,7,,,
M.Bartoli,2,64,38,36,11,1.0,6,22,17,12,5,16,12,,7,,,
P.Cetkovska,2,71,31,29,7,1.0,3,30,13,8,4,15,14,,6,,,
S.Stephens,2,64,48,36,19,8.0,4,25,39,7,6,31,14,,7,8.0,,
L.Tsurenko,0,48,17,52,17,2.0,7,12,42,3,1,13,6,,3,,,
M.Puig,2,63,43,37,24,6.0,1,31,20,9,3,23,17,,6,6.0,,
S.Halep,1,71,28,29,8,1.0,1,18,6,9,3,6,6,,2,0.0,,
K.Zakopalova,2,59,28,41,10,1.0,7,23,33,18,7,8,7,,7,,,
M.Torro-Flor,0,61,9,39,6,1.0,1,10,17,0,0,6,3,,0,,,
R.Vinci,2,58,47,42,15,6.0,3,30,30,20,7,59,32,,6,9.0,,
P.Martic,2,54,24,46,15,5.0,8,27,23,11,4,21,18,,7,,,
T.Pironkova,2,68,37,32,10,3.0,2,25,18,6,2,19,16,,7,,,
M.Keys,2,65,25,35,12,4.0,2,18,12,10,3,7,3,,6,,,
A.Radwanska,2,62,23,38,12,,1,14,7,9,5,14,10,,6,,,
M.Erakovic,2,58,35,42,15,6.0,5,24,14,4,2,16,11,,7,,,
O.Puchkova,0,56,9,44,3,0.0,5,8,12,4,2,10,6,,2,,,
S.Lisicki,2,65,28,35,10,4.0,1,24,10,6,5,10,8,,6,,,
K.Date-Krumm,2,79,32,21,8,1.0,3,17,21,7,5,25,20,,6,,,
S.Williams,2,71,25,29,8,9.0,0,30,9,9,4,11,6,,6,,,
A.Cornet,1,56,28,44,19,2.0,5,24,22,8,5,20,13,,6,2.0,,
V.Dolonc,0,65,11,35,8,0.0,2,14,18,8,4,28,15,,4,,,
C.Suarez Navarro,2,66,31,34,13,1.0,2,25,17,15,6,14,9,,7,,,
P.Kvitova,1,63,30,37,8,2.0,4,26,19,8,3,10,8,,6,1.0,,
K.Knapp,2,57,32,43,13,14.0,5,27,17,10,4,7,5,,7,,,
M.Bartoli,2,62,26,38,10,1.0,5,20,12,8,6,8,7,,6,,,
S.Stephens,1,79,32,21,3,2.0,4,10,17,5,1,10,4,,7,,,
M.Puig,0,58,15,42,8,3.0,2,15,10,4,1,10,7,,4,,,
K.Zakopalova,1,62,35,38,14,0.0,3,15,30,9,4,10,5,,6,6.0,,
R.Vinci,2,56,18,44,17,2.0,2,18,11,9,5,23,18,,6,,,
T.Pironkova,2,57,34,43,21,1.0,0,27,20,9,6,24,16,,6,6.0,,
A.Radwanska,2,71,55,29,18,2.0,1,23,10,18,3,31,20,,7,6.0,,
A.Riske,0,60,15,40,8,1.0,4,12,9,1,1,9,7,,2,,,
L.Robson,2,59,35,41,16,5.0,2,25,20,9,4,11,8,,1,6.0,,
S.Lisicki,2,68,39,32,13,8.0,1,34,13,9,4,27,18,,4,6.0,,
S.Williams,2,64,21,36,8,8.0,1,28,12,9,6,9,8,,6,,,
K.Flipkens,2,60,26,40,14,6.0,1,31,20,12,6,41,26,,7,,,
P.Kvitova,2,70,40,30,10,5.0,3,23,21,2,2,18,11,,7,,,
M.Bartoli,2,61,26,39,7,1.0,7,12,13,7,5,2,2,,6,,,
M.Puig,1,61,30,39,20,1.0,0,23,22,8,3,14,8,,6,1.0,,
R.Vinci,0,64,12,36,5,0.0,2,8,4,4,1,13,7,,2,,,
A.Radwanska,2,71,47,29,17,3.0,5,39,11,12,4,48,32,,4,6.0,,
L.Robson,0,57,32,43,16,9.0,4,27,24,3,1,11,7,,6,,,
S.Williams,1,62,31,38,16,7.0,2,25,23,16,5,24,12,,2,4.0,,
P.Kvitova,1,72,50,28,11,2.0,2,41,28,3,2,39,25,,6,4.0,,
S.Stephens,0,63,24,37,5,3.0,3,21,19,8,4,10,8,,4,,,
A.Radwanska,2,77,52,23,9,0.0,5,32,18,16,5,32,21,,7,6.0,,
S.Lisicki,2,59,26,41,10,3.0,4,23,19,5,4,12,9,,6,,,
M.Bartoli,2,61,21,39,10,5.0,3,23,10,7,5,11,11,,6,,,
S.Lisicki,2,63,53,37,19,9.0,7,60,46,14,6,44,32,,6,9.0,,
S.Lisicki,0,65,22,35,9,6.0,5,21,25,8,2,18,11,,1,,,
V.Azarenka,2,72,31,28,4,3.0,9,25,14,16,6,8,4,,6,,,
F.Pennetta,2,53,18,47,15,4.0,4,22,14,6,5,14,11,,6,,,
T.Maria,0,56,16,44,7,2.0,10,11,29,1,0,8,2,,0,,,
V.King,1,68,45,32,15,0.0,4,32,45,4,1,48,32,,3,1.0,,
K.Flipkens,2,66,33,34,15,6.0,0,31,19,9,3,35,24,,6,,,
B.Jovanovski,2,69,57,31,18,11.0,5,47,40,13,4,13,7,,6,9.0,,
V.Dolonc,2,69,33,31,12,2.0,5,34,26,12,6,10,8,,6,6.0,,
J.Konta,0,52,21,48,17,1.0,4,21,25,2,0,9,7,,5,,,
A.Ivanovic,2,67,29,33,10,6.0,0,17,7,5,4,3,2,,6,,,
G.Voskoboeva,1,59,49,41,21,3.0,4,34,30,6,3,25,21,,6,4.0,,
M.Lucic-Baroni,2,64,28,36,14,6.0,1,33,25,4,3,7,5,,6,,,
L.Dominguez Lino,0,64,16,36,5,,3,12,24,10,2,22,14,,2,,,
E.Makarova,2,82,30,18,7,2.0,0,19,8,7,3,11,9,,6,,,
A.Keothavong,0,62,18,38,11,2.0,2,10,14,1,0,10,6,,0,,,
Y.Shvedova,2,59,19,41,11,0.0,4,14,34,12,5,10,3,,6,,,
C.Vandeweghe,1,64,40,36,20,5.0,3,24,25,9,3,17,10,,7,4.0,,
M.Sharapova,2,68,35,32,14,5.0,0,27,18,8,1,9,4,,6,,,
M.Oudin,1,65,32,35,15,3.0,2,33,51,16,7,13,10,,6,4.0,,
K.Knapp,2,63,34,37,11,9.0,3,26,19,2,2,9,6,,6,,,
L.Davis,0,66,21,34,2,1.0,2,13,7,1,0,3,2,,0,,,
S.Cirstea,2,59,32,41,15,1.0,3,29,29,12,5,25,15,,7,,,
S.Murray,0,58,28,42,16,4.0,6,18,27,1,0,10,7,,4,,,
A.Glatch,0,54,26,46,8,7.0,1,17,24,5,2,25,13,,4,,,
E.Svitolina,0,56,24,44,14,1.0,5,22,13,3,1,14,10,,5,,,
C.Wozniacki,2,72,29,28,2,3.0,3,12,7,8,6,9,6,,6,,,
D.Vekic,0,53,23,47,11,4.0,2,18,16,0,0,9,4,,1,,,
A.Petkovic,2,77,28,23,7,1.0,0,18,9,6,4,7,5,,6,,,
J.Hampton,0,66,21,34,11,1.0,1,14,14,4,1,12,6,,3,,,
V.Lepchenko,1,72,43,28,13,7.0,6,34,46,6,1,25,16,,6,4.0,,
L.Tsurenko,2,60,24,40,10,2.0,1,24,22,7,4,12,9,,6,,,
M.Doi,1,64,25,36,14,1.0,5,30,27,10,5,15,8,,4,1.0,,
M.Puig,2,68,28,32,13,4.0,3,38,17,8,4,18,12,,6,,,
N.Li,2,62,24,38,11,2.0,4,29,12,7,5,18,16,,6,,,
S.Halep,2,56,29,44,15,4.0,5,32,20,13,6,19,18,,3,6.0,,
A.Beck,2,72,29,28,14,2.0,0,14,11,11,6,2,1,,6,,,
D.Hantuchova,0,63,15,37,8,0.0,3,15,18,10,3,8,5,,3,,,
D.Cibulkova,2,65,43,35,17,0.0,5,43,48,14,5,23,18,,4,6.0,,
I.Begu,0,61,23,39,11,,2,15,27,5,3,9,8,,4,,,
J.Cepelova,2,62,24,38,12,2.0,2,18,15,10,6,8,6,,6,,,
C.Scheepers,0,52,10,48,7,0.0,3,16,20,10,1,19,13,,1,,,
N.Petrova,0,60,20,40,8,6.0,0,17,11,1,0,9,4,,2,,,
P.Martic,2,59,32,41,14,10.0,6,29,19,11,5,15,9,,1,6.0,,
M.Rybarikova,1,64,29,36,16,1.0,1,31,55,8,3,48,25,,0,1.0,,
T.Pironkova,2,60,18,40,13,5.0,0,19,2,9,5,7,4,,6,,,
M.Barthel,2,68,39,32,17,1.0,0,44,39,16,7,66,42,,4,7.0,,
M.Keys,2,63,25,37,10,8.0,2,23,18,7,5,8,5,,7,,,
M.Johansson,2,59,32,41,17,1.0,7,19,38,12,7,18,12,,6,6.0,,
Y.Meusburger,0,64,7,36,6,0.0,0,13,18,5,1,17,11,,1,,,
A.Kerber,2,58,21,42,13,1.0,0,15,4,10,5,15,6,,6,,,
T.Moore,1,58,58,42,24,4.0,11,30,36,15,4,14,12,,7,5.0,,
U.Radwanska,2,68,39,32,15,2.0,2,26,18,20,9,18,11,,4,6.0,,
A.Riske,2,72,50,28,10,2.0,7,39,35,9,6,64,42,,7,3.0,,
S.Peng,2,70,44,30,9,7.0,1,29,21,4,3,21,13,,6,,,
M.Erakovic,2,59,45,41,15,12.0,7,40,34,9,4,16,14,,6,7.0,,
J.Goerges,1,62,47,38,21,3.0,8,30,46,4,2,29,16,,7,5.0,,
L.Robson,2,53,24,47,16,8.0,3,31,17,6,3,10,8,,6,,,
S.Stosur,2,65,25,35,8,5.0,0,25,10,10,4,26,19,,6,,,
A.Rus,0,56,19,44,15,,7,19,48,5,4,9,6,,2,,,
A.Hlavackova,0,79,25,21,6,2.0,2,19,26,6,3,14,8,,5,,,
F.Schiavone,0,54,15,46,11,1.0,3,6,8,3,0,16,9,,2,,,
T.Paszek,0,66,19,34,6,1.0,6,20,40,5,2,9,8,,5,,,
C.Witthoeft,0,41,6,59,7,0.0,4,2,10,2,1,1,0,,2,,,
J.Zheng,0,70,25,30,10,1.0,2,13,14,2,0,9,6,,4,,,
M.Minella,0,48,12,52,12,1.0,1,5,6,1,1,7,3,,3,,,
S-W.Hsieh,0,53,14,47,9,0.0,2,13,16,8,1,15,10,,2,,,
K.Flipkens,2,58,27,42,14,7.0,1,24,9,9,3,10,8,,6,,,
V.Dolonc,2,72,33,28,11,2.0,3,17,18,7,5,16,11,,6,,,
A.Ivanovic,0,51,12,49,10,5.0,3,18,9,5,2,12,6,,3,,,
M.Lucic-Baroni,1,56,28,44,16,7.0,3,30,31,9,4,8,5,,3,3.0,,
E.Makarova,2,68,49,32,16,7.0,2,30,14,11,5,5,4,,6,6.0,,
M.Sharapova,0,60,20,40,9,6.0,5,21,18,7,1,7,5,,4,,,
K.Knapp,2,67,39,33,14,10.0,2,25,24,8,5,5,3,,6,6.0,,
S.Cirstea,0,58,40,42,16,3.0,6,19,24,15,5,18,10,,6,,,
C.McHale,0,64,26,36,11,4.0,3,31,20,12,3,13,9,,4,,,
C.Wozniacki,0,69,15,31,8,0.0,1,6,10,6,0,8,4,,2,,,
A.Petkovic,1,63,38,37,22,4.0,2,26,30,16,7,19,13,,6,6.0,,
E.Birnerova,2,55,23,45,19,0.0,3,10,30,7,3,10,8,,6,,,
S.Soler-Espinosa,1,57,38,43,18,2.0,4,36,27,6,1,17,13,,7,4.0,,
N.Li,2,73,29,27,7,0.0,4,24,14,11,6,15,13,,1,6.0,,
A.Beck,0,66,23,34,9,0.0,4,9,27,14,6,3,2,,3,,,
D.Cibulkova,2,44,15,56,13,0.0,3,13,7,9,5,6,4,,6,,,
J.Cepelova,1,61,37,39,22,0.0,2,36,29,8,5,37,23,,6,7.0,,
Ka.Pliskova,0,63,28,37,6,5.0,8,24,27,2,2,20,10,,1,,,
B.Zahlavova Strycova,0,64,28,36,15,6.0,0,20,12,1,0,30,16,,3,,,
M.Barthel,0,74,32,26,8,1.0,1,11,22,1,0,9,5,,2,,,
M.Johansson,0,66,24,34,6,,6,22,29,4,1,27,18,,3,,,
S.Peng,0,74,30,26,9,4.0,1,17,16,3,0,8,4,,2,,,
S.Stosur,2,69,20,31,11,3.0,2,22,10,6,6,12,12,,6,,,
E.Vesnina,0,74,14,26,4,2.0,2,10,17,4,1,15,5,,1,,,
A.Cadantu,0,79,30,21,7,0.0,3,15,10,6,3,11,9,,5,,,
C.Garcia,0,75,24,25,9,3.0,1,15,5,0,0,14,8,,2,,,
F.Pennetta,2,56,30,44,16,0.0,2,23,19,5,4,30,22,,7,6.0,,
K.Flipkens,2,63,27,37,8,8.0,2,29,14,13,7,24,14,,6,,,
E.Bouchard,0,56,25,44,15,2.0,2,24,32,9,3,13,10,,2,,,
E.Makarova,2,75,35,25,8,4.0,1,18,5,11,4,5,4,,6,2.0,,
M.Larcher De Brito,0,71,28,29,9,0.0,3,10,14,5,1,4,2,,2,,,
C.Giorgi,0,60,21,40,14,0.0,2,24,18,7,4,27,19,,5,,,
P.Cetkovska,1,56,23,44,17,0.0,2,14,15,7,4,14,11,,6,,,
E.Birnerova,2,75,22,25,5,4.0,2,24,9,5,3,13,11,,2,,,
N.Li,2,69,43,31,15,4.0,3,28,28,10,7,10,9,,6,8.0,,
D.Cibulkova,0,64,15,36,9,0.0,2,14,22,6,2,20,14,,4,,,
P.Martic,1,50,20,50,14,3.0,7,30,27,14,3,40,25,,6,2.0,,
M.Keys,1,61,53,39,16,15.0,1,67,51,10,2,34,22,,6,3.0,,
K.Kanepi,2,53,22,47,13,4.0,1,24,9,7,4,6,3,,6,,,
M.Erakovic,1,60,37,40,13,12.0,8,34,15,9,4,11,7,,5,3.0,,
S.Stosur,1,61,32,39,15,3.0,4,20,14,5,1,16,11,,2,1.0,,
K.Date-Krumm,0,64,10,36,9,0.0,0,8,9,2,1,15,10,,0,,,
F.Pennetta,0,66,26,34,11,0.0,0,20,19,6,4,31,18,,3,,,
C.Suarez Navarro,0,66,31,34,11,1.0,1,10,12,6,1,11,9,,3,,,
K.Knapp,0,60,18,40,4,2.0,2,9,16,2,1,5,1,,3,,,
S.Stephens,2,63,46,37,13,6.0,6,25,31,12,5,15,7,,7,6.0,,
N.Li,2,61,21,39,10,0.0,1,26,10,7,6,19,14,,6,,,
T.Pironkova,1,55,37,45,18,5.0,1,52,27,6,2,46,29,,3,3.0,,
K.Kanepi,2,60,44,40,14,9.0,5,28,18,5,2,5,3,,7,,,
S.Lisicki,2,61,38,39,20,10.0,3,35,25,8,5,16,14,,1,6.0,,
K.Flipkens,2,62,42,38,17,7.0,2,23,5,8,3,20,16,,6,6.0,,
M.Bartoli,2,58,26,42,15,0.0,3,6,12,12,6,10,4,,7,,,
N.Li,1,77,57,23,13,1.0,4,58,40,10,4,71,48,,6,2.0,,
K.Kanepi,0,67,25,33,9,3.0,3,13,23,2,1,19,9,,3,,,
K.Flipkens,0,49,8,51,7,0.0,1,10,6,2,1,21,8,,2,,,
A.Radwanska,1,70,42,30,15,1.0,0,21,10,14,6,31,16,,6,7.0,,
M.Bartoli,2,67,31,33,7,2.0,6,15,14,13,5,11,9,,6,,,
